Precio,Dormitorios,Banos,Parqueos,Tamano de la propiedad
2100,2,2,4,196
3100,4,2,2,350
3500,3,5,2,459
3000,4,2,2,350
2250,3,3,2,325
2800,3,3,3,450
2100,2,2,2,196
9900,14,8,10,760
9900,14,8,10,760
3000,4,2,2,299
1950,5,3,3,400
3000,2,2,2,375
2350,3,3,2,325
2100,2,2,4,196
3500,3,5,2,459
3000,4,2,2,350
2250,3,3,2,325
2800,3,3,3,450
10000,15,6,6,831
840,3,2,2,150
812,3,1,3,121
812,3,1,3,121
1200,3,3,3,200
2800,6,4,3,400
2500,4,2,3,263
10000,3,5,8,831
2150,3,3,3,300
2500,4,2,4,535
2150,3,2,2,280
2900,4,3,10,350
3500,9,4,8,450
2200,5,4,2,350
1300,3,3,2,387
2400,4,3,3,350
3300,3,2,2,500
4000,5,4,3,590
2400,4,3,2,300
2400,4,3,3,350
2400,4,3,2,350
1400,3,3,2,320
3900,5,4,3,590
2500,4,4,5,418
2500,4,4,5,418
4000,4,4,2,450
2500,4,4,5,418
2500,4,4,5,418
2500,4,2,2,470
2800,3,3,4,360
2500,4,4,5,418
2500,4,4,5,418
4000,8,4,7,316
1750,3,2,2,290
2300,4,2,2,350
5000,4,6,3,597
4650,13,3,4,310
1100,2,2,2,140
4500,4,2,3,350
2250,4,4,1,170
1660,4,4,4,183
2300,3,1,3,399
2300,3,1,3,399
2500,4,4,2,418
3000,5,5,3,451
6000,4,6,8,696
4000,4,2,4,699
2400,4,3,3,350
6000,10,6,8,696
1700,4,4,3,400
2350,4,4,4,350
5000,6,6,4,476
3500,5,2,8,763
7000,5,2,8,763
4500,3,3,3,650
1500,3,5,4,320
2900,4,3,4,450
1850,3,3,4,450
3500,3,5,2,600
600,3,3,2,106
950,3,3,2,300
1420,3,2,3,240
3500,4,5,5,700
1250,3,2,2,220
1400,3,2,4,325
1500,3,3,3,230
650,4,2,2,160
635,4,2,2,200
1200,3,4,2,182
1000,5,4,2,276
1250,4,2,2,300
570,3,2,2,126
3000,4,2,2,670
3000,4,2,2,670
4500,5,4,3,575
1200,3,2,4,230
600,3,2,1,130
1200,4,4,3,350
1850,3,3,3,400
3000,3,3,2,300
900,3,2,2,250
3500,5,4,6,888
900,3,3,2,250
1850,3,3,2,400
1850,4,4,2,400
1850,3,3,2,400
1400,3,3,2,400
3300,4,4,9,400
3500,4,3,2,670
850,3,4,2,230
2900,3,3,4,440
1600,3,3,3,300
955,3,2,2,250
775,3,2,4,220
1600,3,3,2,300
1000,3,3,2,250
6500,3,2,2,180
1600,3,4,3,300
1500,2,2,3,230
880,3,2,3,300
1700,4,3,2,350
3300,4,4,9,400
955,4,2,3,260
972,3,3,2,250
1600,3,4,4,280
795,3,1,4,192
1200,3,3,2,220
960,3,3,3,200
900,3,3,3,200
577,3,2,2,135
3300,4,3,4,450
900,4,2,2,280
822,3,2,2,250
600,3,2,2,150
650,3,2,2,138
975,3,3,2,231
560,3,2,2,110
1300,3,3,2,200
1800,4,4,4,450
1200,3,2,2,100
1756,4,4,4,380
1300,3,3,4,332
1600,5,5,4,359
1600,5,5,4,359
2200,6,6,6,407
1900,4,4,4,600
1115,3,2,3,224
6500,3,2,3,265
1500,3,3,3,605
625,3,2,2,112
1550,3,3,6,250
2799,3,2,2,349
900,3,3,3,160
860,3,3,2,195
1800,3,2,5,400
725,3,2,2,160
1500,4,3,6,443
820,5,4,2,105
690,3,2,4,150
725,4,3,2,200
800,3,3,5,450
1375,3,2,2,260
1250,3,2,2,229
950,3,3,2,209
1200,3,4,3,384
2350,4,4,4,506
1850,3,5,4,879
1850,3,3,4,875
1120,3,2,4,200
4500,4,4,4,526
1800,4,4,4,450
550,3,2,2,126
4100,3,3,2,104
2500,4,5,4,500
1500,3,2,2,230
706,4,4,2,160
950,3,3,4,360
1850,3,3,2,400
1600,3,4,4,452
800,3,2,2,200
2200,3,3,6,280
875,3,2,2,200
800,3,2,2,200
1200,3,4,2,290
800,3,2,2,200
2000,3,4,2,525
